1.000000000000000000e+01;4.000000000000000000e+00;1.024000000000000000e+03;3.053570508956909291e-01
2.500000000000000000e+01;4.000000000000000000e+00;1.024000000000000000e+03;2.851576566696166770e-01
3.500000000000000000e+01;4.000000000000000000e+00;1.024000000000000000e+03;2.854704141616821178e-01
5.000000000000000000e+01;4.000000000000000000e+00;1.024000000000000000e+03;2.889186620712280162e-01
6.000000000000000000e+01;8.000000000000000000e+00;1.024000000000000000e+03;3.708766222000122181e-01
7.500000000000000000e+01;8.000000000000000000e+00;1.024000000000000000e+03;3.866313934326172097e-01
1.000000000000000000e+02;8.000000000000000000e+00;2.048000000000000000e+03;3.572761535644531361e-01
1.500000000000000000e+02;8.000000000000000000e+00;2.048000000000000000e+03;3.534390211105346569e-01
2.000000000000000000e+02;8.000000000000000000e+00;2.048000000000000000e+03;3.531943798065185769e-01
4.500000000000000000e+02;1.600000000000000000e+01;2.048000000000000000e+03;5.177153587341308816e-01
6.000000000000000000e+02;1.600000000000000000e+01;2.048000000000000000e+03;5.137119531631469949e-01
7.500000000000000000e+02;1.600000000000000000e+01;4.096000000000000000e+03;1.241645669937133878e+00
9.000000000000000000e+02;1.600000000000000000e+01;4.096000000000000000e+03;1.253536987304687544e+00
1.000000000000000000e+03;1.600000000000000000e+01;4.096000000000000000e+03;1.259143209457397550e+00
