1.000000000000000000e+01;2.013061046600341658e-02
2.500000000000000000e+01;2.196376323699951102e-02
3.500000000000000000e+01;2.474462985992431641e-02
5.000000000000000000e+01;3.020093441009521346e-02
6.000000000000000000e+01;3.384525775909423551e-02
7.500000000000000000e+01;2.522608995437621848e-01
1.000000000000000000e+02;2.688560724258423074e-01
1.500000000000000000e+02;4.415806055068969838e-01
2.000000000000000000e+02;6.265806674957274947e-01
4.500000000000000000e+02;2.572551512718200595e+00
6.000000000000000000e+02;4.700269436836242321e+00
7.500000000000000000e+02;7.476571822166443226e+00
9.000000000000000000e+02;1.110646584033966100e+01
1.000000000000000000e+03;1.369584596157073975e+01
