1.000000000000000000e+01;3.463587760925292830e-02
2.500000000000000000e+01;3.686277866363525668e-02
3.500000000000000000e+01;3.929195404052734236e-02
5.000000000000000000e+01;4.342935085296630721e-02
6.000000000000000000e+01;4.908928871154785017e-02
7.500000000000000000e+01;2.870121717453003041e-01
1.000000000000000000e+02;2.898518800735473411e-01
1.500000000000000000e+02;3.298214435577392356e-01
2.000000000000000000e+02;3.831657171249389648e-01
4.500000000000000000e+02;2.575394201278686346e+00
6.000000000000000000e+02;4.569371199607848766e+00
7.500000000000000000e+02;6.889476799964905140e+00
9.000000000000000000e+02;9.700264000892639515e+00
1.000000000000000000e+03;1.202910997867584264e+01
